number,capsule_mass,gut_dry_mass,gut_pa_mass,length,AFDW,combustion_efficiency
1,26.82,47.18,30.34,22.47,16.84,0.8271119843
2,27.19,52.69,31.1,23.64,21.59,0.8466666667
3,27.17,40.55,28.34,24.78,12.21,0.9125560538
4,26.94,40.25,30.29,18.2,9.96,0.7483095417
5,26.94,38.62,27.94,21.11,10.68,0.9143835616
6,26.82,43.14,28.05,19.46,15.09,0.9246323529
7,26.95,49.91,28.52,24.33,21.39,0.9316202091
8,27.06,47.07,29.6,20.7,17.47,0.8730634683
9,27.25,39.08,29.02,21.31,10.06,0.8503803888
10,26.98,43.54,28.06,20.74,15.48,0.9347826087
11,27.06,40.27,27.98,19.57,12.29,0.9303557911
12,27.07,45.39,29.98,20.72,15.41,0.8411572052
13,27.11,55.38,29.31,23.15,26.07,0.9221789883
14,27.08,55.13,30.24,24.76,24.89,0.8873440285
15,27.09,47.53,34.8,20.02,12.73,0.6227984344
16,27.06,42.79,28.79,20.18,14,0.8900190718
17,26.84,43.66,28.12,21,15.54,0.9239001189
18,27.12,38.74,28.1,21.67,10.64,0.9156626506
19,27.08,42.27,28.96,23.553,13.31,0.8762343647
20,27.01,35.96,28.44,18.49,7.52,0.8402234637
21,26.87,40.73,27.85,23.18,12.88,0.9292929293
22,27.08,44.07,28.22,19.24,15.85,0.9329017069
23,26.99,51.53,30.81,19.21,20.72,0.8443357783
24,27.02,38.62,28.33,18.59,10.29,0.8870689655
25,27.05,36.23,27.84,23.98,8.39,0.9139433551
26,26.91,49.05,31.01,24.31,18.04,0.8148148148
27,27.2,43.74,28.7,19.77,15.04,0.9093107618
28,26.82,57.71,32.39,23.24,25.32,0.8196827452
29,27.03,47.22,29.09,22.86,18.13,0.8979692917
30,27.16,50.59,30.93,23.86,19.66,0.8390951771
31,26.86,35.89,27.6,18.57,8.29,0.9180509413
32,27.03,33.42,28.85,20.7,4.57,0.7151799687
33,26.89,42.8,28.44,19.93,14.36,0.9025769956
34,26.92,51.04,30.4,24.59,20.64,0.855721393
35,57.29,75.48,60.07,22.34,15.41,0.8471687741
36,89.21,99.11,90.02,19.11,9.09,0.9181818182
37,26.89,46.02,28.02,19.78,18,0.9409304757
38,26.98,36.33,27.65,20.4,8.68,0.928342246
39,26.98,42.64,28.29,18.47,14.35,0.9163473819
40,26.89,37.3,27.6,18.12,9.7,0.9317963497
41,27.09,48.67,29.05,25.07,19.62,0.9091751622
42,26.89,36.84,28.18,20.49,8.66,0.8703517588
43,27.12,37.96,27.68,19.71,10.28,0.9483394834
44,27.06,40.76,30.29,20.18,10.47,0.7642335766
45,26.98,39.15,27.84,17.97,11.31,0.9293344289
